,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
1100,0.0444948,0.0465041,0.0469579,0.0454611,0.0539477,0.052083,0.0567156,0.056241,0.0487862,0.0492719,0.0544335,0.0546683,0.0395456,0.0409652,0.0530862,0.054238,0.0469856,0.0455244,0.046162,0.0487734,0.0457413,0.0477657,0.0497307,0.0486839,0.0475671,0.0435725,0.0534007,0.0532833,0.0533006,0.0320147,0.0321434,0.0409727,0.0400315,0.0451557,0.0490297,0.0367198,0.0377271,0.040578,0.0380757,0.0343884,0.038644,0.0368145,0.0378099,0.0462272,0.0461938,0.0620519,0.0625079,0.0473355,0.0459453,0.0426053,0.0462983,0.0444276,0.0458505,0.033803,0.0332697,0.0335687,0.0393509,0.0399178,0.0393042,0.0443556,0.0409655,0.0427297,0.0465488,0.0378108,0.0409112,0.0340631,0.0418365,0.03967,0.0422475,0.0420891,0.0440262,0.0437947,0.0485725,0.0451972,0.0691006,0.0494937,0.0715778,0.0497173,0.0594381,0.0500851
1102,0.0443834,0.0463485,0.046817,0.0453212,0.0537859,0.0518756,0.0565167,0.0560315,0.0485873,0.0490503,0.0542774,0.0545415,0.039365,0.0407923,0.0529496,0.0540941,0.0468254,0.0453193,0.0459942,0.0485991,0.0455802,0.0476088,0.0495645,0.0485081,0.047384,0.0433841,0.053205,0.0530844,0.0531016,0.031834,0.032039,0.040853,0.039917,0.0450726,0.0489041,0.0366605,0.0376402,0.0404587,0.0379232,0.0342863,0.038482,0.036642,0.0376253,0.0460229,0.0459604,0.0617489,0.0622344,0.0471002,0.045701,0.0423742,0.0461429,0.0442878,0.0457335,0.0336572,0.0331372,0.0334473,0.0392471,0.0397909,0.0391683,0.0441896,0.0408357,0.0425706,0.0463792,0.0376542,0.0407533,0.0338992,0.04168,0.0395226,0.0421118,0.0419295,0.0438844,0.0436429,0.0484092,0.0450509,0.0689345,0.0493625,0.0714205,0.0495729,0.0593211,0.0499276
1104,0.0442581,0.0462297,0.0466632,0.0452048,0.0536497,0.0517733,0.0564035,0.055933,0.0484845,0.0489668,0.0541613,0.0544006,0.0392588,0.0407058,0.0528379,0.0539749,0.0467238,0.0452344,0.0459172,0.0485026,0.0455001,0.0475163,0.0494652,0.0484192,0.0473076,0.0433237,0.053114,0.0530011,0.0530226,0.0317745,0.0319197,0.0407816,0.0398331,0.0449951,0.0488179,0.0365452,0.0375451,0.0403763,0.0378142,0.034173,0.0384261,0.0366112,0.0375901,0.0459476,0.0458929,0.0615983,0.0620698,0.0470358,0.0456612,0.042339,0.0460144,0.0441798,0.045626,0.0335447,0.0330245,0.0333365,0.0391494,0.0397082,0.0390733,0.0440955,0.0407264,0.0424714,0.0462537,0.0375446,0.0406416,0.0337928,0.0415702,0.0394238,0.0420043,0.0418286,0.043782,0.0435423,0.0483225,0.0449756,0.0688226,0.0492666,0.0713061,0.0494713,0.0592224,0.0498294
1106,0.0442124,0.0462051,0.0466015,0.0451591,0.0536129,0.0517475,0.0563486,0.055881,0.0484452,0.048934,0.0540967,0.0543259,0.0392202,0.0406418,0.0527858,0.0539233,0.0467164,0.0452332,0.0458935,0.0484662,0.0454223,0.0474519,0.0493908,0.0483356,0.0472512,0.0432743,0.0530821,0.0529581,0.0529949,0.0317151,0.0318557,0.040669,0.0397332,0.0449152,0.0487316,0.0364454,0.0374361,0.0402643,0.0377666,0.0340834,0.0383978,0.0365629,0.0375543,0.0458654,0.0458087,0.0614847,0.06193,0.0470239,0.0456542,0.0423364,0.045938,0.0440903,0.0455278,0.0334489,0.0329294,0.0332517,0.0390261,0.0395894,0.0389595,0.0440059,0.0406465,0.0424272,0.0462289,0.0374863,0.0405591,0.0337681,0.0414828,0.039303,0.0419262,0.0417712,0.04371,0.0434652,0.0482754,0.0449008,0.0687262,0.0491757,0.0712223,0.0493914,0.0591227,0.0497579
1108,0.0441836,0.0461827,0.0465991,0.0451517,0.0535759,0.0516905,0.056309,0.0558519,0.048431,0.0489036,0.0540778,0.0543127,0.039178,0.0406325,0.0527886,0.053915,0.0467021,0.0452291,0.0458906,0.0484444,0.0454158,0.0474392,0.0493728,0.048331,0.0472431,0.0432941,0.053096,0.0529799,0.0530425,0.0317356,0.0318506,0.0406625,0.0397109,0.0449037,0.0486958,0.0364141,0.0373955,0.0402354,0.0377464,0.0340435,0.0383042,0.0364915,0.0374694,0.0457248,0.0456833,0.0612814,0.0617328,0.0469186,0.0455516,0.0422477,0.0459285,0.0440586,0.0454859,0.0333948,0.0328864,0.0332074,0.0389873,0.0395642,0.0389192,0.0439878,0.0405951,0.0424238,0.0462283,0.03746,0.0405231,0.0337409,0.0414331,0.0392468,0.0418861,0.0417417,0.043678,0.0434366,0.0482639,0.0448831,0.0687197,0.0491498,0.0712176,0.0493862,0.0590927,0.0497458
1110,0.044229,0.0461915,0.0466394,0.0451878,0.053623,0.0517554,0.0563807,0.0559254,0.0485144,0.0489759,0.0541121,0.0543364,0.0392143,0.0406703,0.0528487,0.0540044,0.0467631,0.0452669,0.0459583,0.0485058,0.0454334,0.0474705,0.0493893,0.0483534,0.0472542,0.0432986,0.053086,0.0529633,0.0530239,0.0317282,0.0318514,0.0407014,0.0397621,0.0449637,0.0487463,0.0364483,0.0374373,0.0402369,0.0377477,0.0340564,0.0382974,0.0364797,0.0374518,0.0456723,0.0456356,0.0611258,0.0615971,0.0468855,0.0455283,0.0422225,0.045919,0.0440596,0.0454949,0.033372,0.0328749,0.0332231,0.0390108,0.0395855,0.0389508,0.043992,0.0406241,0.0424344,0.0462429,0.037474,0.0405143,0.0337453,0.0414455,0.0392606,0.0419071,0.0417448,0.0436606,0.0434168,0.0482461,0.0448577,0.0687268,0.049147,0.0712199,0.0493823,0.0590853,0.049741
1112,0.044323,0.0463285,0.0467013,0.0453001,0.0537587,0.0518838,0.0564752,0.0560257,0.048621,0.0490895,0.0542014,0.0544005,0.0392754,0.0407511,0.052933,0.0540777,0.046821,0.0453779,0.0460472,0.0485859,0.045519,0.0475351,0.0494779,0.0484115,0.047348,0.0434292,0.05323,0.0530876,0.053157,0.0318142,0.0319355,0.0407691,0.0398361,0.045067,0.0488097,0.0364885,0.0374815,0.0402855,0.0378178,0.0340819,0.0384571,0.0366532,0.0376255,0.0457912,0.0457689,0.061176,0.0616505,0.0470659,0.0457082,0.0424052,0.045973,0.0441308,0.0455787,0.0334157,0.0329346,0.0332925,0.0390962,0.0396788,0.0390452,0.0440583,0.0406872,0.0425124,0.0462865,0.0375688,0.0405792,0.0338205,0.0415019,0.0392947,0.041996,0.0418184,0.0437118,0.0434558,0.0482631,0.0448937,0.0688341,0.0492059,0.0713291,0.0494578,0.0591572,0.0498144
1114,0.0444508,0.0464971,0.0468167,0.0454626,0.0539147,0.0520667,0.0566617,0.0562584,0.0488028,0.0492891,0.0544086,0.0545652,0.0394378,0.0409274,0.0531379,0.0543067,0.0470465,0.0456182,0.0462776,0.0488034,0.0456787,0.0477325,0.0496486,0.0485956,0.0475364,0.0436144,0.0534536,0.0533195,0.0534336,0.0320084,0.0320405,0.0409191,0.0399606,0.0452124,0.0489664,0.0365794,0.0375419,0.0403963,0.0379499,0.0341913,0.0386235,0.0368426,0.0378267,0.0459195,0.0458992,0.0612977,0.0617504,0.0472645,0.0459374,0.0426355,0.0461153,0.044241,0.0456796,0.0335024,0.0330099,0.0334078,0.0391773,0.0398034,0.0391497,0.0442031,0.0408024,0.0426832,0.0464977,0.0376889,0.0407094,0.033978,0.0416076,0.0393952,0.0420974,0.0419574,0.0438292,0.0435559,0.0484232,0.0449988,0.0690552,0.0493535,0.0715603,0.0496387,0.059281,0.0500112
1116,0.0446677,0.046735,0.0470445,0.0456637,0.0541995,0.0523625,0.0569731,0.0565573,0.0490555,0.0495457,0.0547412,0.0548759,0.0396645,0.0411697,0.0534672,0.054652,0.0473607,0.045945,0.0466105,0.0491273,0.0459293,0.0480121,0.0499176,0.0488627,0.0478362,0.0438924,0.0537612,0.0536333,0.0537662,0.0322383,0.0322613,0.0411573,0.0401801,0.045489,0.0492525,0.0367602,0.0377398,0.0405769,0.03817,0.0343688,0.038765,0.0370197,0.0379899,0.0460591,0.046039,0.0613607,0.061839,0.0474926,0.0461449,0.0428478,0.0463577,0.0444593,0.0459008,0.033638,0.0331691,0.0335898,0.0393736,0.0400136,0.0393505,0.0444481,0.0409974,0.0429395,0.0467761,0.0378883,0.0409082,0.0341896,0.0418074,0.0395699,0.0423214,0.0421785,0.044015,0.0437234,0.0486188,0.0451564,0.0693545,0.0495716,0.0718389,0.0498831,0.0594878,0.0502653
1118,0.0450671,0.0470968,0.0474189,0.046025,0.0545893,0.0527183,0.0573455,0.0569379,0.0493912,0.049878,0.0551741,0.05529,0.0399897,0.041557,0.0538976,0.0551074,0.0477477,0.0463514,0.0470548,0.0495171,0.0463366,0.0484155,0.0503038,0.0492673,0.048226,0.0442994,0.0541968,0.054047,0.0542024,0.0325421,0.0325822,0.0415542,0.0405808,0.045932,0.0496692,0.0371112,0.0380517,0.0409093,0.0384843,0.0346386,0.0390251,0.0372681,0.0382342,0.0462977,0.0462969,0.0615158,0.0620434,0.0478029,0.046449,0.0431396,0.0466964,0.0448148,0.046277,0.0339069,0.0334429,0.0339033,0.0397613,0.0404063,0.0397244,0.0448235,0.0413533,0.0433283,0.0471733,0.0382471,0.0412514,0.0345038,0.0421671,0.0398985,0.0426878,0.0425131,0.0443184,0.0440237,0.048906,0.0454246,0.0698562,0.0499352,0.0722756,0.0502832,0.059826,0.0506766
1120,0.0455523,0.047586,0.0478709,0.0464762,0.0551342,0.0532665,0.0579023,0.0575353,0.0498995,0.0503792,0.0558239,0.0559112,0.0404965,0.0420844,0.0545509,0.0557885,0.0483316,0.0469549,0.0476762,0.0501298,0.0468927,0.049006,0.0508621,0.0498213,0.0487829,0.0448427,0.0548013,0.054639,0.054821,0.0330048,0.0330109,0.0420814,0.0411056,0.0464995,0.0502418,0.0375593,0.0384885,0.0413554,0.0389034,0.0350452,0.0394152,0.0377075,0.0386412,0.0466988,0.0467142,0.0618192,0.062401,0.0482902,0.0469377,0.0436238,0.0471552,0.0452893,0.046773,0.0342644,0.0338227,0.0343558,0.0402526,0.0409188,0.0402308,0.0453305,0.0418311,0.0438409,0.0476977,0.0387221,0.0417263,0.0349503,0.0426447,0.0403464,0.0431673,0.0429634,0.0447431,0.044423,0.0492914,0.0457889,0.0704913,0.0504319,0.0728507,0.0508162,0.060294,0.0512131
1122,0.0462644,0.0482987,0.0485289,0.0471129,0.0559093,0.0540198,0.0586799,0.0583121,0.0505636,0.0510566,0.0567246,0.0567696,0.0411747,0.0428369,0.0553928,0.0566757,0.0491147,0.0477825,0.0485265,0.0509722,0.0476695,0.0498253,0.0516843,0.0506347,0.0496049,0.0456565,0.0556831,0.0554991,0.0557326,0.0336837,0.0337087,0.042827,0.04186,0.0473093,0.0510864,0.0382035,0.0391322,0.0419904,0.0395683,0.0356193,0.0399815,0.0383079,0.0392321,0.0472956,0.0473012,0.0623091,0.0629812,0.0490084,0.0476134,0.044312,0.0478493,0.0459923,0.0475005,0.0348364,0.0344137,0.0350147,0.0409755,0.0416624,0.0409516,0.0460715,0.0425052,0.0445943,0.0484728,0.0394296,0.0424212,0.035635,0.0433365,0.0409863,0.0438816,0.0436532,0.0453564,0.0450267,0.0498992,0.0463273,0.0714603,0.0511533,0.0737388,0.0515837,0.0609636,0.0519982
1124,0.0471426,0.0491546,0.0493376,0.0479067,0.0568552,0.0549383,0.0596118,0.0592939,0.0513986,0.0518971,0.0578333,0.0578103,0.042035,0.0437578,0.0564586,0.0577986,0.0501043,0.0488026,0.0495712,0.0520022,0.0486303,0.0508293,0.05265,0.0516008,0.0505806,0.0466186,0.0567479,0.0565344,0.0568193,0.0344954,0.0345199,0.0437447,0.0427842,0.048296,0.0520968,0.0390081,0.0399073,0.0428263,0.0403551,0.0363404,0.0406846,0.0390577,0.0399622,0.0480398,0.0480474,0.0629512,0.0636987,0.0498709,0.0484621,0.0451477,0.0487122,0.0468652,0.0483972,0.0355483,0.0351365,0.035821,0.041857,0.0425842,0.0418592,0.0469991,0.0433787,0.0455313,0.0494478,0.0403018,0.0432988,0.0364549,0.0442227,0.0417905,0.0447618,0.0444973,0.0461468,0.0457896,0.0506463,0.0470373,0.0726601,0.0520421,0.0748255,0.0525399,0.0618058,0.0529781
1126,0.0482981,0.0502865,0.0504377,0.0489638,0.0581576,0.0562022,0.0609204,0.0606346,0.0525302,0.0530332,0.0593482,0.0592718,0.0432076,0.0449914,0.057901,0.0592883,0.0514269,0.0501661,0.0509911,0.0534021,0.0499504,0.0522099,0.0540022,0.052969,0.0519445,0.0479078,0.0581747,0.0579463,0.0582737,0.0355906,0.0355959,0.0449677,0.0440145,0.0496242,0.0534836,0.0400862,0.0409773,0.0438872,0.0414117,0.0373213,0.041629,0.0400657,0.040952,0.0490687,0.0490789,0.0638603,0.0647316,0.0510513,0.0495825,0.0462939,0.0498833,0.0480408,0.0496175,0.0364897,0.0361103,0.0369173,0.0430647,0.0438096,0.043061,0.0482251,0.0445229,0.0467683,0.05072,0.0414627,0.0444677,0.0375702,0.0453906,0.0428728,0.0459341,0.0455993,0.0471702,0.0467916,0.0516257,0.0479437,0.0742207,0.0532252,0.0762606,0.0537882,0.0629173,0.0542307
1128,0.0497579,0.0517318,0.0518037,0.0502774,0.0597719,0.057773,0.0625121,0.0622798,0.0539447,0.0544601,0.0612201,0.0610474,0.0446236,0.0465234,0.0596543,0.0611442,0.0530363,0.0518464,0.0527138,0.0551106,0.0515706,0.0539103,0.0556518,0.0546338,0.0536149,0.0495394,0.0599526,0.0596872,0.0600756,0.0369674,0.0369826,0.0465233,0.0455757,0.0512944,0.0551969,0.0414425,0.0423183,0.045267,0.04274,0.0385456,0.0428231,0.0413316,0.0422007,0.0503913,0.0503999,0.0650307,0.0660478,0.0525463,0.0509744,0.0477052,0.0513315,0.049523,0.0511449,0.0376974,0.0373324,0.0382644,0.0445789,0.0453626,0.044588,0.0497684,0.0459728,0.0483342,0.0523339,0.0429335,0.045934,0.0389659,0.0468785,0.0442398,0.0474308,0.0470004,0.0484838,0.0480876,0.052875,0.0491232,0.0762181,0.0547065,0.0780927,0.0553846,0.0643158,0.055832
1130,0.0514253,0.053413,0.05338,0.0518157,0.0616571,0.059613,0.064389,0.0642254,0.0555876,0.0561232,0.0634165,0.0631602,0.0463424,0.0483283,0.0617386,0.0633208,0.0549566,0.0538365,0.0547335,0.0571372,0.0534856,0.0558873,0.0576101,0.0565966,0.055595,0.051444,0.0620317,0.0617463,0.0621852,0.0385641,0.0385595,0.0482863,0.0473825,0.0532119,0.0572009,0.0429994,0.0438517,0.046871,0.0442906,0.0399729,0.0442161,0.0428174,0.0436504,0.0519346,0.0519206,0.0664248,0.0676232,0.0542776,0.0526283,0.0493552,0.0530459,0.051251,0.0529317,0.0390919,0.0387518,0.0398456,0.0463413,0.0471755,0.0463538,0.0515886,0.0476712,0.0501433,0.0542082,0.0446419,0.0476686,0.0405674,0.0486204,0.0458296,0.0491761,0.0486438,0.0500607,0.0496092,0.0543494,0.0504995,0.0785396,0.0564239,0.0802191,0.0572386,0.0659638,0.0576944
1132,0.0534786,0.0554359,0.0553107,0.0536562,0.0639563,0.0618417,0.0666558,0.0665762,0.0575709,0.0581276,0.0660579,0.065709,0.048383,0.050512,0.0642112,0.0659213,0.0572342,0.0562069,0.0571551,0.0595471,0.0557676,0.0582931,0.0599688,0.0589629,0.0579859,0.0537269,0.0645502,0.0642271,0.0647174,0.04049,0.04051,0.0504618,0.0496113,0.0555569,0.059652,0.0449243,0.0457524,0.0488211,0.0461879,0.0417257,0.0459242,0.0446259,0.0454222,0.0538584,0.0538256,0.0681695,0.0695974,0.0563969,0.0546286,0.0513977,0.0551514,0.0533705,0.0551342,0.0408362,0.0405215,0.0417925,0.0485105,0.049393,0.0485394,0.0537959,0.0497164,0.0523307,0.056469,0.0467161,0.0497798,0.0425342,0.0507322,0.0477517,0.0512871,0.0506396,0.0519726,0.0514673,0.0561599,0.0521855,0.0813766,0.0585432,0.0828316,0.0595039,0.0679974,0.0599509
1134,0.0557737,0.0577459,0.0574795,0.0557639,0.0665235,0.0643298,0.0691862,0.0692014,0.059806,0.0603952,0.0690491,0.0685719,0.0507065,0.0529616,0.0670289,0.0688746,0.0598136,0.0588836,0.0598728,0.0622699,0.05835,0.060984,0.062625,0.0616273,0.0606707,0.0563025,0.0673795,0.0670201,0.0675495,0.0426633,0.0427019,0.0529046,0.0521055,0.0581831,0.062402,0.0470911,0.0478829,0.0510434,0.0483252,0.0436953,0.0479057,0.0467161,0.0474709,0.0560692,0.0560057,0.0702077,0.0718686,0.0588346,0.056942,0.0537196,0.0575003,0.0557381,0.0575752,0.0427709,0.0424783,0.0439486,0.0509451,0.0518647,0.0509779,0.0562812,0.0520495,0.0547982,0.059018,0.049064,0.0521673,0.0447293,0.0531066,0.0498998,0.0536685,0.0528902,0.0541317,0.0535921,0.0581988,0.0541002,0.0845654,0.0609085,0.0857875,0.0620395,0.0702609,0.0625025
1136,0.0582784,0.0602627,0.0598443,0.0580469,0.0693732,0.0671029,0.0720038,0.0720991,0.0622549,0.0628987,0.0723481,0.0717258,0.0532562,0.0556525,0.0700868,0.0720806,0.062647,0.0618227,0.0628481,0.0652557,0.0611717,0.0639507,0.0655783,0.0645951,0.0636543,0.0591432,0.0704994,0.0701208,0.070678,0.0450707,0.0450837,0.0555714,0.0548379,0.061056,0.0654368,0.0494496,0.0502281,0.0534632,0.0506822,0.0458913,0.0500811,0.0490071,0.0497241,0.0585123,0.0584184,0.072486,0.0744224,0.061517,0.0594874,0.0562696,0.0601069,0.0583386,0.0602846,0.0449182,0.0446438,0.0463293,0.0536121,0.0545977,0.0536504,0.0589915,0.054599,0.0575074,0.0617997,0.051641,0.054793,0.0471434,0.0557245,0.0522641,0.0563009,0.0553902,0.0565268,0.0559284,0.0604734,0.0562114,0.0880342,0.0635251,0.0890384,0.0648274,0.0727673,0.0652698
1138,0.0611353,0.0631132,0.0625344,0.0606271,0.0725953,0.070212,0.0751357,0.0753482,0.0650186,0.0657101,0.0760699,0.0752948,0.0561575,0.0587309,0.0735589,0.0757208,0.0658408,0.0651412,0.0661927,0.06862,0.0643591,0.0672911,0.068893,0.067937,0.0670132,0.0623458,0.0740393,0.0736146,0.0742088,0.0477937,0.0478123,0.0586179,0.0579526,0.0643238,0.0688601,0.0521468,0.0528828,0.0562185,0.0533471,0.0483628,0.0525175,0.0515967,0.0522579,0.0612868,0.0611528,0.0750651,0.0773084,0.0645395,0.0623267,0.0591671,0.0630577,0.0612837,0.0633502,0.0473824,0.0471008,0.0490588,0.0566603,0.0577053,0.0567123,0.0620926,0.0574928,0.0605833,0.0649792,0.054597,0.0577912,0.0498969,0.0586984,0.054943,0.0593238,0.0582204,0.059267,0.0586178,0.0630737,0.0586651,0.092044,0.0664899,0.0927769,0.0680159,0.0756479,0.068437
